week,period,dining chairs_pv,dining tables_pv,dining chairs_cm,dining tables_cm
2019-12-30,pre,19383.0,10182.0,3214.9653866503268,1811.5931369731475
2020-01-06,pre,23427.0,12591.0,3787.255067734036,2196.6493381647924
2020-01-13,pre,20707.0,11897.0,6690.024250950819,-3009.786515408627
2020-01-20,pre,23485.0,12789.0,3954.628975840895,-3109.505154682825
2020-01-27,pre,25084.0,13314.0,6627.4903186184565,3085.5672824671847
2020-02-03,pre,26909.0,12596.0,12211.52154345428,292.99740360183387
2020-02-10,pre,22120.0,12043.0,3418.3554089181976,727.7887115980895
2020-02-17,pre,23012.0,13052.0,8251.409654894866,3023.812993425941
2020-02-24,pre,21640.0,13282.0,2592.021801459447,1233.9849167265866
2020-03-02,pre,22853.0,12879.0,4811.860914546614,1187.550730123
2020-03-09,pre,19060.0,10958.0,2462.209633254972,1225.0154901551487
2020-03-16,pre,22658.0,10918.0,4343.382402276142,1790.9407129321107
2020-03-23,pre,29086.0,15328.0,3404.8939373988883,3124.0420617272543
2020-03-30,pre,27983.0,13563.0,5818.3708744235055,1680.0525885677407
2020-04-06,pre,28710.0,15710.0,5536.977007597834,2371.962267074222
2020-04-13,pre,35999.0,20287.0,10075.30595737617,4392.047929538494
2020-04-20,pre,40804.0,20697.0,18670.229724177516,5838.669762291707
2020-04-27,pre,40435.0,20213.0,11304.71130529782,873.0973649212099
2020-05-04,pre,33749.0,16522.0,10079.6640330505,7594.370823197851
2020-05-11,pre,31578.0,15444.0,8620.824545147118,5478.745136460658
2020-05-18,pre,33682.0,17570.0,10728.309187660683,343.9851677137933
2020-05-25,pre,31748.0,17078.0,5522.215161231233,6824.018297522149
2020-06-01,pre,21557.0,13386.0,6379.146493562595,2279.636612017634
2020-06-08,pre,24348.0,13641.0,9560.603063541237,1030.0622062257266
2020-06-15,pre,26373.0,15183.0,10032.949664768681,-6593.093544962984
2020-06-22,pre,29438.0,17226.0,11205.676869517654,1843.8676458303441
2020-06-29,pre,29312.0,17629.0,11077.317114200321,1542.9248170741303
2020-07-06,pre,30163.0,16726.0,9680.79970803612,4863.67845846167
2020-07-13,pre,30492.0,16465.0,9144.639512150145,-5171.341901030154
2020-07-20,pre,28910.0,16412.0,9068.97819528723,2631.7130137080326
2020-07-27,pre,28740.0,16018.0,9080.987382812695,1703.1956603641127
2020-08-03,pre,29642.0,16485.0,15950.468066500916,5673.458975177104
2020-08-10,pre,34091.0,18816.0,16166.833664371585,9111.153084620128
2020-08-17,pre,35486.0,21198.0,8585.143544332486,7948.912738096185
2020-08-24,pre,33654.0,21320.0,13026.812678620052,4064.99003017743
2020-08-31,pre,33741.0,20153.0,8006.322657789268,145.28396970391714
2020-09-07,pre,43133.0,25031.0,15351.905350097348,-310.80497493203825
2020-09-14,pre,43720.0,22098.0,9944.990903573036,4724.20003237735
2020-09-21,pre,34953.0,18658.0,10826.906893401678,2645.242930243513
2020-09-28,pre,34019.0,17625.0,10204.319368445185,10934.290287679221
2020-10-05,pre,34754.0,17967.0,12072.741672891736,-808.6021651746651
2020-10-12,pre,33194.0,17897.0,8808.563101011498,7061.668081155976
2020-10-19,pre,29434.0,17200.0,15227.316024689077,2054.996284840977
2020-10-26,pre,26269.0,16703.0,12586.768791710892,-2807.745024120769
2020-11-02,pre,27532.0,17716.0,17702.001515824464,6029.01343053185
2020-11-09,pre,32161.0,20225.0,9724.227721639027,4014.0311462994514
2020-11-16,pre,34142.0,21279.0,18738.034888596914,2290.206685988672
2020-11-23,pre,36765.0,23796.0,12019.083449957987,3518.104495938629
2020-11-30,pre,32597.0,17386.0,6855.910589964169,2129.708300616413
2020-12-07,pre,27568.0,15912.0,9205.309151872383,4472.0428135384145
2020-12-14,pre,26490.0,15339.0,10211.841732587685,-1042.133097157002
2020-12-21,pre,24225.0,14546.0,14875.969799132821,2466.8737754233916
2020-12-28,pre,37226.0,23210.0,10941.006903537764,-3767.5286178271645
2021-01-04,pre,32081.0,18631.0,6808.855018281791,-4089.690283900045
2021-01-11,pre,35751.0,18935.0,9217.437282678264,1470.7660011129651
2021-01-18,pre,39697.0,19993.0,8023.801861296481,3023.473888902207
2021-01-25,pre,33379.0,20586.0,10447.904541895454,-1117.0127977555217
2021-02-01,pre,31955.0,18806.0,7845.862971507523,444.4185133440503
2021-02-08,pre,30933.0,19147.0,10111.408318058515,-1476.409022357004
2021-02-15,pre,41079.0,21489.0,16184.835165220937,3746.6085149247324
2021-02-22,pre,36242.0,18787.0,10286.788972519449,-171.68282930425767
2021-03-01,pre,28565.0,17692.0,11926.556824252295,3993.6947114136483
2021-03-08,pre,28858.0,18714.0,12133.996981974145,5998.9999153723875
2021-03-15,pre,30813.0,18755.0,16268.95977417771,6270.932788166788
2021-03-22,pre,27948.0,17267.0,15118.196416049657,5034.098464241501
2021-03-29,pre,25455.0,16614.0,11815.263552721632,1142.411722253073
2021-04-05,pre,28322.0,17275.0,9663.071429496355,-1403.017558084727
2021-04-12,pre,31935.0,19115.0,8536.670490905773,360.5571123038583
2021-04-19,pre,34952.0,22195.0,14409.064707638887,1714.8979943139834
2021-04-26,pre,30694.0,21381.0,10871.173431458814,-5381.197504566598
2021-05-03,pre,32905.0,19259.0,10081.349805595935,1013.526874872284
2021-05-10,pre,31889.0,18840.0,1625.3840540692777,6971.096055259155
2021-05-17,pre,27805.0,18680.0,7164.190646905632,3116.278974578087
2021-05-24,pre,30244.0,20933.0,12908.957018543322,245.82355251922
2021-05-31,pre,27672.0,21779.0,6450.908232422101,3106.663128663389
2021-06-07,pre,26127.0,19776.0,4510.334625985237,-254.39678060370966
2021-06-14,pre,26519.0,24115.0,10777.838572518669,-5487.785269906682
2021-06-21,pre,28209.0,25516.0,6067.66227781488,-11130.793563529245
2021-06-28,pre,30023.0,26783.0,14944.831932993204,-3205.9678488997624
2021-07-05,pre,31185.0,28348.0,14555.4746865654,-1352.036167852115
2021-07-12,pre,30830.0,25478.0,7488.893782678745,-3383.348582586744
2021-07-19,pre,29633.0,25004.0,7922.400835045034,411.462926667647
2021-07-26,pre,30791.0,25748.0,9576.40594145208,-1349.9402238593843
2021-08-02,pre,31623.0,22862.0,11493.770737310297,-1456.9163993255297
2021-08-09,pre,29674.0,23727.0,9359.594089601633,-1693.914121666319
2021-08-16,pre,30742.0,23874.0,11902.26889748173,1527.092251584305
2021-08-23,pre,34545.0,23008.0,11138.921381180682,614.7358353610764
2021-08-30,pre,36527.0,24785.0,11887.128537073399,594.559330021061
2021-09-06,pre,40025.0,26186.0,17696.715187361235,1752.6770769708658
2021-09-13,pre,41843.0,26256.0,14397.660846528508,2735.890971078692
2021-09-20,pre,35677.0,23634.0,12743.005692285462,209.2748766585995
2021-09-27,pre,44369.0,29500.0,8726.018173220153,1153.059359235613
2021-10-04,pre,49964.0,27733.0,10710.098455475943,1993.8728834304181
2021-10-11,pre,37954.0,26663.0,12922.418224301346,5315.005426183151
2021-10-18,pre,37498.0,24822.0,12270.966395152638,-5752.821343233172
2021-10-25,pre,44600.0,25202.0,10077.855220849871,788.7762263191321
2021-11-01,pre,42453.0,24912.0,14829.743662238794,248.9904942463517
2021-11-08,pre,40321.0,26544.0,11488.477367262143,-3415.2877154961507
2021-11-15,pre,10788.0,6958.0,3876.438022332529,-622.6441926889769
2021-11-17,post,27614.0,18489.0,10190.004453220257,3041.319892186852
2021-11-22,post,39584.0,24466.0,14388.070463949753,-1459.3908544967978
2021-11-29,post,36313.0,21870.0,7870.904916495395,570.8523374281674
2021-12-06,post,14404.0,8804.0,2438.4094101275386,-2957.0631465491942
