week,period,C1_pv,C2_pv,T1_pv,T2_pv,C1_gmv,C2_gmv,T1_gmv,T2_gmv
2019-12-30,pre,171329.0,152404.0,211115.0,200414.0,201179.9400000001,180049.83000000007,220093.56000000006,193112.9519047621
2020-01-06,pre,234847.0,182327.0,258237.0,236925.0,299627.3399999996,268433.10000000015,303466.7199999998,249972.65955182092
2020-01-13,pre,232309.0,183334.0,242528.0,227905.0,288639.40999999974,244033.82,307353.1599999998,286964.7041025639
2020-01-20,pre,234312.0,198875.0,321608.0,235899.0,316147.0199999999,253772.45999999993,300038.8999999999,270632.7270129869
2020-01-27,pre,227385.0,182784.0,295975.0,232668.0,274237.4099999999,234332.25,316810.52999999974,250718.01040293038
2020-02-03,pre,198443.0,177423.0,219130.0,224049.0,244629.99999999983,307868.57999999984,280627.88673637196,307605.76393778366
2020-02-10,pre,196486.0,175397.0,253003.0,216663.0,293728.5699999997,278950.96999999986,290987.14000000025,249493.2514285714
2020-02-17,pre,223431.0,183459.0,283434.0,224322.0,305462.31999999995,282707.3599999998,311321.8899999999,303692.9666573296
2020-02-24,pre,240039.0,213769.0,291482.0,249718.0,290535.7099999997,265866.01,315050.28,288819.12611111114
2020-03-02,pre,219489.0,212952.0,272488.0,247829.0,274439.55,264106.31999999983,276134.14999999985,255350.64015873012
2020-03-09,pre,204864.0,233679.0,276533.0,251373.0,297662.6199999996,276721.7199999999,256057.70000000004,271830.40738095227
2020-03-16,pre,243539.0,287661.0,392367.0,315808.0,232165.88999999996,223480.45469964665,229189.6100000003,231970.3338461538
2020-03-23,pre,313368.0,338658.0,457010.0,381421.0,283099.2099999998,273634.0100000001,301280.7899999999,292755.7460606061
2020-03-30,pre,326678.0,345318.0,497008.0,380413.0,295773.96,289089.9699999998,297177.6699999999,276641.25222222216
2020-04-06,pre,323178.0,356058.0,481123.0,388457.0,335069.94721148966,294291.96000000025,290162.88048780477,306328.5581855643
2020-04-13,pre,392072.0,427914.0,606553.0,454981.0,426374.69666666613,376692.993333333,450575.67,421978.0483333331
2020-04-20,pre,398032.0,435865.0,602679.0,461741.0,423770.06142857124,425007.1085714281,439184.2199999992,452141.64567820996
2020-04-27,pre,367725.0,408861.0,543472.0,432188.0,419307.8927141291,383722.7299999997,425781.3672858697,455391.5959307361
2020-05-04,pre,355904.0,391185.0,572686.0,402211.0,388891.99999999977,392330.07215940655,436446.94999999966,417893.9078571423
2020-05-11,pre,370964.0,381126.0,546339.0,425442.0,451028.5699999989,422937.02999999904,458950.8899999991,403463.29097222205
2020-05-18,pre,303225.0,282904.0,340433.0,320084.0,524252.70000000007,386936.76999999984,439920.16999999975,420810.35999999987
2020-05-25,pre,251183.0,232406.0,269085.0,270937.0,489717.1499999993,383927.91999999946,434802.4200000003,428648.81999999983
2020-06-01,pre,196137.0,203397.0,223507.0,218561.0,358217.40999999957,338477.9700000001,347355.48000000033,327916.50999999983
2020-06-08,pre,204972.0,218478.0,237145.0,238317.0,365513.17,342866.5099999999,335952.95999999985,372896.2999999998
2020-06-15,pre,241460.0,221941.0,271624.0,241307.0,361112.6799999996,321055.9200000001,367443.60999999987,338341.7074999999
2020-06-22,pre,241277.0,230722.0,286779.0,262614.0,364791.5899999997,367336.6099999998,383746.9399999996,384754.1199999996
2020-06-29,pre,241278.0,227195.0,282240.0,270122.0,418337.3809090904,332106.72999999946,378962.2154545452,406320.31999999954
2020-07-06,pre,241927.0,231099.0,262796.0,271106.0,405167.5001896727,392413.97000000026,409597.87151028716,408489.45747981506
2020-07-13,pre,240393.0,245808.0,266326.0,275555.0,385618.6399999999,367243.35999999987,399904.31000000006,398940.16999999963
2020-07-20,pre,221740.0,241735.0,245006.0,255788.0,375553.2960853709,353415.49,407407.5439146292,419448.1899999997
2020-07-27,pre,226924.0,228886.0,306474.0,251531.0,378462.75000000006,356805.93999999994,416870.18000000005,355371.4999999999
2020-08-03,pre,257259.0,225948.0,307811.0,252468.0,409660.2099999999,349903.5299999999,409330.63999999984,391985.25999999995
2020-08-10,pre,263589.0,240167.0,276144.0,275855.0,423414.1999999998,407151.3700000001,433213.22999999975,446129.4733005808
2020-08-17,pre,244555.0,246683.0,281320.0,285847.0,426165.03999999986,395372.92000000016,419624.55999999976,412570.50999999954
2020-08-24,pre,262634.0,266963.0,326895.0,403301.0,464473.7159453305,403744.3499999999,498066.32999999967,446558.92999999976
2020-08-31,pre,258565.0,249382.0,302954.0,349020.0,450335.11999999994,380243.6300000002,440803.72341126116,467640.5099999997
2020-09-07,pre,299772.0,276090.0,328170.0,429632.0,452116.3270453167,367866.53,433958.86249999976,513719.2696453898
2020-09-14,pre,315502.0,338679.0,405344.0,601111.0,354685.93999999977,338970.17,405389.36,439633.6000000001
2020-09-21,pre,336218.0,359222.0,421683.0,486400.0,416931.5399999998,395539.76999999955,413804.63999999955,433584.00000000006
2020-09-28,pre,316404.0,333249.0,369060.0,484706.0,409273.5199999999,350001.9999999999,430102.28000000014,434544.93999999977
2020-10-05,pre,335423.0,329354.0,376229.0,553424.0,405210.8699999994,369495.88999999966,415075.3299999996,416292.1999999996
2020-10-12,pre,347351.0,320950.0,368633.0,467142.0,415749.25999999925,361846.3699999997,414902.63999999943,411074.8199999996
2020-10-19,pre,321087.0,289311.0,406830.0,329022.0,395721.14999999956,341776.93999999965,450153.1299999995,431587.9699999995
2020-10-26,pre,322274.0,257079.0,327789.0,294568.0,435039.21999999974,345563.5499999999,397832.0849999998,420886.5499999994
2020-11-02,pre,288273.0,239674.0,260028.0,272038.0,413026.64999999973,354669.85,385240.61999999953,447925.1699999991
2020-11-09,pre,313116.0,274289.0,318585.0,305664.0,435409.4899999997,400734.7599999996,456456.1099999995,460486.56999999954
2020-11-16,pre,296044.0,279018.0,322095.0,306016.0,504037.9999999996,436684.91999999946,465816.63999999926,554447.3999999994
2020-11-23,pre,299265.0,279497.0,325493.0,309849.0,553662.5899999992,436170.3999999994,530318.4799999993,551388.7399999993
2020-11-30,pre,290212.0,282462.0,296480.0,288563.0,551185.3274999995,457638.1999999994,531132.512499999,506083.1299999994
2020-12-07,pre,273004.0,253020.0,262797.0,258442.0,456775.94999999943,387774.04999999946,460359.0199999995,462128.0145291781
2020-12-14,pre,255008.0,237897.0,247147.0,251329.0,394814.5999999998,325598.24999999965,383340.3499999994,406123.6199999995
2020-12-21,pre,259885.0,228806.0,257377.0,252362.0,289798.69999999984,250919.75999999978,290547.61999999965,302414.1099999998
2020-12-28,pre,369080.0,312025.0,365949.0,355097.0,530380.4299999994,372216.48323987494,477727.6167601238,448455.77999999915
2021-01-04,pre,327687.0,282748.0,330067.0,324638.0,473212.26999999944,387165.0399999997,433195.2799999997,402795.8999999998
2021-01-11,pre,351058.0,286930.0,332129.0,324358.0,521432.8386725663,430777.4899999997,437141.65199999965,498882.7199999997
2021-01-18,pre,375080.0,308933.0,374169.0,348960.0,464992.87999999995,424146.25999999966,480161.85999999935,491510.9499999994
2021-01-25,pre,367056.0,342725.0,408518.0,362277.0,454680.6429850741,459018.9699999998,467442.4466666661,487305.02499999944
2021-02-01,pre,349863.0,288980.0,371661.0,340464.0,475600.16999999963,409128.8299999998,426960.96999999945,461609.52999999956
2021-02-08,pre,336436.0,266467.0,364706.0,316208.0,435584.3699999996,374753.2799999997,418358.57999999967,487922.6999999995
2021-02-15,pre,365339.0,282031.0,398054.0,348477.0,492210.3499999996,381522.1599999997,459691.8699999995,473112.7999999996
2021-02-22,pre,345083.0,275662.0,368258.0,318505.0,425910.1595081965,370877.6799999999,425925.89999999956,450736.32999999967
2021-03-01,pre,318519.0,275559.0,330860.0,305569.0,413556.53999999975,347671.2499999997,387978.28999999975,417882.30999999976
2021-03-08,pre,317960.0,260631.0,324194.0,296156.0,466408.5599999997,352176.82999999967,360428.87999999983,398012.87999999966
2021-03-15,pre,343545.0,278097.0,338547.0,314476.0,414748.8099999998,414919.56018348614,421030.05999999953,458822.15999999957
2021-03-22,pre,348615.0,312486.0,335848.0,321444.0,428750.9999999996,379374.24999999977,388108.6699999997,422917.8699999999
2021-03-29,pre,320210.0,291422.0,335401.0,289613.0,437594.45999999996,393583.51999999984,392783.4799999996,436916.8799999997
2021-04-05,pre,324912.0,286872.0,359177.0,294468.0,454422.0199999998,401033.19893203856,408898.1599999996,456340.7299999996
2021-04-12,pre,345730.0,287081.0,322219.0,305700.0,476055.5299999998,441460.7099999997,406979.2099999997,503274.2220960694
2021-04-19,pre,364388.0,289967.0,327271.0,316173.0,512529.05822966475,437133.1699999998,401682.1617703345,484938.8999999996
2021-04-26,pre,347569.0,296097.0,332851.0,309722.0,506612.2199999997,427500.15795514476,476122.16999999946,519455.5199999999
2021-05-03,pre,361223.0,307104.0,342091.0,321735.0,549876.1949999996,463614.0899999998,465327.1699999993,505747.9299999997
2021-05-10,pre,352970.0,285084.0,397205.0,305063.0,552958.8299999995,439117.04999999976,500594.9299999996,481636.53999999946
2021-05-17,pre,374366.0,275811.0,357582.0,292028.0,563599.6410716234,448733.3299999995,473282.8241771453,461536.5899999997
2021-05-24,pre,337225.0,283301.0,341751.0,304290.0,544914.4799999997,467610.31999999954,491904.4725242711,507847.5499999994
2021-05-31,pre,332734.0,273601.0,326213.0,294802.0,557754.9667100972,473910.67999999964,513411.7832899014,532465.9899999993
2021-06-07,pre,309243.0,252877.0,289191.0,271484.0,537371.9499999996,404971.58999999944,454583.7199999996,446313.5499999992
2021-06-14,pre,309440.0,253408.0,310036.0,283969.0,561164.1399999994,434859.1299999996,508604.9599999995,509197.9199999995
2021-06-21,pre,330404.0,268930.0,341607.0,306005.0,508812.2299999994,452790.7299999997,473590.17999999935,478711.5399999996
2021-06-28,pre,307675.0,248575.0,305176.0,281343.0,507785.44428571383,441377.0499999995,490587.1957142853,531311.1116455914
2021-07-05,pre,324658.0,271606.0,321081.0,311879.0,513683.2443157726,419562.94999999966,494842.5799999993,586562.3256842264
2021-07-12,pre,328084.0,257111.0,316054.0,305347.0,549128.6099999992,410465.78999999986,505133.77999999915,493447.0499999996
2021-07-19,pre,319349.0,250695.0,309239.0,295369.0,521286.06999999966,458283.19999999966,471219.44999999943,467496.0999999993
2021-07-26,pre,320369.0,254630.0,301430.0,289456.0,524999.4999999995,454264.54999999946,496612.85999999946,501419.00999999937
2021-08-02,pre,307627.0,254815.0,305795.0,282824.0,548160.6099999995,429912.3699999993,493431.08999999944,500466.1166666663
2021-08-09,pre,329928.0,263455.0,334503.0,289213.0,582027.8499999996,503894.6999999997,501468.78999999946,520936.9299999996
2021-08-16,pre,331819.0,271583.0,329988.0,299443.0,644216.5499999993,524492.185309734,494806.3899999995,538801.3399999994
2021-08-23,pre,359930.0,298178.0,346789.0,327338.0,661949.8699999993,553465.0899999994,609028.2199999995,595823.9899999992
2021-08-30,pre,372138.0,301094.0,361908.0,330155.0,636503.5499999992,557087.9499999994,592065.2599999993,581724.8899999993
2021-09-06,pre,343026.0,293064.0,339159.0,318900.0,636415.7699999994,573659.1899999994,591905.4315384605,545702.0799999993
2021-09-13,pre,344812.0,286933.0,352296.0,322448.0,622154.9599999996,519198.33999999956,578060.2399999992,568197.4299999996
2021-09-20,pre,350659.0,291447.0,366034.0,317625.0,666205.3499999989,562537.7582568803,570039.6717431182,596721.7799999994
2021-09-27,pre,344690.0,291346.0,351099.0,326185.0,735491.6666666659,595974.2099999995,649665.8199999993,619074.2699999996
2021-10-04,pre,383411.0,313044.0,415389.0,352230.0,727009.9199999992,651160.7099999994,702558.6499999991,612604.7736681217
2021-10-11,pre,367469.0,312922.0,400973.0,333811.0,660476.4199999991,606274.5899999994,674543.6299999991,654390.3899999995
2021-10-18,pre,205374.0,184582.0,205543.0,187566.0,440783.6499999996,401445.1999999998,342968.33934426215,427726.08999999985
2021-10-22,post,150583.0,128801.0,152737.0,142101.0,298836.9099999998,228784.65,230288.79999999996,248257.38999999993
2021-10-25,post,338047.0,278857.0,338941.0,337347.0,703982.3699999992,630629.2499999992,599506.2799999994,633562.6499999996
2021-11-01,post,322200.0,277510.0,311047.0,315865.0,732406.269999999,583969.1999999995,612610.8999999992,705258.9799999993
2021-11-08,post,322780.0,311672.0,335131.0,348030.0,736769.852062679,622076.6633657716,598261.2626214892,702945.6244989646
2021-11-15,post,302840.0,272292.0,321276.0,304044.0,748635.2166793651,606537.6108254273,698574.82588112,714200.358989599
2021-11-22,post,289888.0,242482.0,298065.0,279869.0,713020.7982255733,573280.2392139799,687536.1741497007,674601.3233406515
2021-11-29,post,285344.0,256343.0,306150.0,281938.0,698585.5257656474,639460.144185285,626094.0325750177,653103.619971295
2021-12-06,post,119546.0,103126.0,121540.0,113791.0,221055.92925311616,186307.59773613696,194544.4425261942,181205.0592473021
